obsDate;name;openValue;closeValue;higherValue;lowerValue;volume;marketType;currency
03/12/2021;Microsoft;234,010;235,750;235,820;233,230;22653660,000;1;1
03/12/2021;Tesla;1084,790;1014,970;1090,575;1000,210;30774000,000;1;1
02/12/2021;Apple;158,735;163,760;164,200;157,800;136739200,000;1;1
02/12/2021;Facebook;311,400;310,390;314,600;307,200;24396170,000;1;1
02/12/2021;Google;2825,000;2859,320;2877,290;2804,290;1459742,000;1;1
02/12/2021;Microsoft;243,933;244,990;245,300;242,730;16561080,000;1;1
02/12/2021;Tesla;1099,060;1084,600;1113,000;1056,650;24371620,000;1;1
01/12/2021;Apple;167,480;164,770;170,300;164,530;152423000,000;1;1
01/12/2021;Facebook;330,290;310,600;330,500;310,290;30384080,000;1;1
01/12/2021;Google;2880,000;2821,030;2919,005;2818,240;1702762,000;1;1
01/12/2021;Microsoft;216,500;214,930;217,100;213,320;23249340,000;1;1
01/12/2021;Tesla;1160,695;1095,000;1172,840;1090,760;22934700,000;1;1
30/11/2021;Apple;159,985;165,300;165,520;159,920;174048100,000;1;1
30/11/2021;Facebook;335,000;324,460;335,810;323,430;25390010,000;1;1
30/11/2021;Google;2900,170;2837,950;2920,000;2832,030;2103361,000;1;1
30/11/2021;Microsoft;335,320;330,590;337,780;328,990;42885610,000;1;1
30/11/2021;Tesla;1144,370;1144,760;1168,000;1118,000;27092040,000;1;1
29/11/2021;Apple;159,370;160,240;161,190;158,790;88748220,000;1;1
29/11/2021;Facebook;336,890;338,030;340,670;335,305;16650950,000;1;1
29/11/2021;Google;2880,000;2910,610;2925,950;2877,870;1629752,000;1;1
29/11/2021;Microsoft;334,940;336,630;339,030;334,740;28563480,000;1;1
29/11/2021;Tesla;1100,990;1136,990;1142,670;1100,190;19464470,000;1;1
26/11/2021;Apple;159,565;156,810;160,450;156,360;76959750,000;1;1
26/11/2021;Facebook;335,795;333,120;337,750;331,902;14750740,000;1;1
26/11/2021;Google;2886,970;2843,660;2891,150;2836,850;1523462,000;1;1
26/11/2021;Microsoft;334,350;329,680;337,930;328,120;24217240,000;1;1
26/11/2021;Tesla;1099,470;1081,920;1108,783;1081,000;11680890,000;1;1
24/11/2021;Apple;160,750;161,940;162,140;159,640;69463620,000;1;1
24/11/2021;Facebook;336,000;341,060;341,780;332,810;13566180,000;1;1
